Time,F0010,F0010,F0010
and,mm,m/s,l/s
Date,Mean,Mean,Mean
23/09/2019 00:00,350.81,0.15,186.79
23/09/2019 00:15,350.72,0.14,180.64
23/09/2019 00:30,350.49,0.15,186.77
23/09/2019 00:45,350.04,0.15,187.19
23/09/2019 01:00,349.62,0.14,175.31
23/09/2019 01:15,349.12,0.14,174.98
23/09/2019 01:30,348.54,0.14,176.26
23/09/2019 01:45,348.19,0.14,174.37
23/09/2019 02:00,347.98,0.14,174.44
23/09/2019 02:15,347.83,0.14,178.69
23/09/2019 02:30,347.81,0.14,178.89
23/09/2019 02:45,347.72,0.14,174.48
23/09/2019 03:00,347.52,0.14,173.93
23/09/2019 03:15,347.31,0.14,173.89
23/09/2019 03:30,347.13,0.15,181.94
23/09/2019 03:45,346.89,0.14,175.17
23/09/2019 04:00,346.52,0.14,176.57
23/09/2019 04:15,346.42,0.14,173.2
23/09/2019 04:30,346.22,0.14,173.07
23/09/2019 04:45,346.05,0.14,172.96
23/09/2019 05:00,345.86,0.14,172.83
23/09/2019 05:15,345.74,0.14,172.76
23/09/2019 05:30,345.59,0.14,174.1
23/09/2019 05:45,345.61,0.14,174.72
23/09/2019 06:00,345.59,0.14,172.66
23/09/2019 06:15,345.57,0.13,166.07
23/09/2019 06:30,345.51,0.14,174.05
23/09/2019 06:45,345.45,0.14,172.98
23/09/2019 07:00,345.51,0.14,170.96
23/09/2019 07:15,345.45,0.14,174.21
23/09/2019 07:30,345.5,0.14,172.39
23/09/2019 07:45,345.56,0.14,171.41
23/09/2019 08:00,345.62,0.14,172.67
23/09/2019 08:15,345.64,0.14,178.35
23/09/2019 08:30,345.77,0.14,176.89
23/09/2019 08:45,345.77,0.14,172.77
23/09/2019 09:00,345.58,0.14,169.57
23/09/2019 09:15,345.43,0.14,172.14
23/09/2019 09:30,345.41,0.14,174.18
23/09/2019 09:45,345.23,0.14,174.06
23/09/2019 10:00,345.1,0.14,172.33
23/09/2019 10:15,345.07,0.14,173.96
23/09/2019 10:30,345.22,0.14,172.42
23/09/2019 10:45,345.33,0.14,175.77
23/09/2019 11:00,344.77,0.14,172.12
23/09/2019 11:15,343.01,0.13,162.01
23/09/2019 11:30,340.49,0.13,157.21
23/09/2019 11:45,338.58,0.13,156.05
23/09/2019 12:00,339.73,0.13,156.74
23/09/2019 12:15,341.08,0.13,157.67
23/09/2019 12:30,342.18,0.14,164.73
23/09/2019 12:45,342.82,0.13,164.23
23/09/2019 13:00,344.56,0.14,170.35
23/09/2019 13:15,347.26,0.14,175.52
23/09/2019 13:30,348.65,0.15,186.11
23/09/2019 13:45,349.18,0.14,179.71
23/09/2019 14:00,349.2,0.15,187.53
23/09/2019 14:15,348.73,0.14,176.39
23/09/2019 14:30,348.22,0.14,174.39
23/09/2019 14:45,347.72,0.14,173.13
23/09/2019 15:00,346.41,0.14,170.72
23/09/2019 15:15,345.12,0.14,175.63
23/09/2019 15:30,343.4,0.14,171.02
23/09/2019 15:45,341.17,0.13,158.03
23/09/2019 16:00,339.02,0.13,156.31
23/09/2019 16:15,337.59,0.13,152.35
23/09/2019 16:30,336.83,0.13,153.38
23/09/2019 16:45,336.26,0.13,153.04
23/09/2019 17:00,335.93,0.12,148.09
23/09/2019 17:15,336.51,0.12,148.43
23/09/2019 17:30,337.08,0.13,155.12
23/09/2019 17:45,337.26,0.13,153.65
23/09/2019 18:00,337.73,0.13,152.33
23/09/2019 18:15,338.72,0.13,156.13
23/09/2019 18:30,340.61,0.14,163.75
23/09/2019 18:45,346.71,0.14,178.39
23/09/2019 19:00,352.89,,
23/09/2019 19:15,359.38,,
23/09/2019 19:30,362.39,,
23/09/2019 19:45,363.26,,
23/09/2019 20:00,369.64,0.19,249.39
23/09/2019 20:15,376.01,0.19,268.48
23/09/2019 20:30,391.47,0.23,336.87
23/09/2019 20:45,391.11,0.23,331.14
23/09/2019 21:00,378.96,0.2,277.21
