"Time","Depth","f_velocity","f_volume"
"23/09/2019 00:00","323.7","0.64","624.47"
"23/09/2019 00:15","323.36","0.63","616"
"23/09/2019 00:30","322.73","0.62","600.09"
"23/09/2019 00:45","322.04","0.6","580.98"
"23/09/2019 01:00","321.2","0.62","599.55"
"23/09/2019 01:15","320.56","0.62","596.69"
"23/09/2019 01:30","320.14","0.64","619.07"
"23/09/2019 01:45","320.1","0.6","583.02"
"23/09/2019 02:00","319.44","0.63","602.94"
"23/09/2019 02:15","318.99","0.63","608.68"
"23/09/2019 02:30","317.95","0.62","592.73"
"23/09/2019 02:45","317.25","0.6","574.82"
"23/09/2019 03:00","316.74","0.62","590.67"
"23/09/2019 03:15","316.98","0.63","595.58"
"23/09/2019 03:30","316.29","0.63","599.24"
"23/09/2019 03:45","316.29","0.62","585"
"23/09/2019 04:00","316.39","0.61","580.68"
"23/09/2019 04:15","315.01","0.6","570.81"
"23/09/2019 04:30","314.71","0.61","579.63"
"23/09/2019 04:45","315.12","0.64","600.65"
"23/09/2019 05:00","314.8","0.6","568.98"
"23/09/2019 05:15","314.73","0.63","589.64"
"23/09/2019 05:30","314.22","0.61","573.62"
"23/09/2019 05:45","314.14","0.6","566.85"
"23/09/2019 06:00","313.96","0.64","602.95"
"23/09/2019 06:15","313.93","0.59","557.74"
"23/09/2019 06:30","313.86","0.63","592.99"
"23/09/2019 06:45","313.47","0.61","576.58"
"23/09/2019 07:00","313.48","0.63","591.15"
"23/09/2019 07:15","313.02","0.63","591"
"23/09/2019 07:30","313.7","0.62","578.98"
"23/09/2019 07:45","313.83","0.59","553.95"
"23/09/2019 08:00","313.17","0.62","583.07"
"23/09/2019 08:15","313.12","0.61","572.73"
"23/09/2019 08:30","313.12","0.62","580.6"
"23/09/2019 08:45","312.99","0.59","557.22"
"23/09/2019 09:00","313.22","0.61","572.43"
"23/09/2019 09:15","313.05","0.62","582.85"
"23/09/2019 09:30","312.95","0.57","535.9"
"23/09/2019 09:45","313.47","0.63","594.7"
"23/09/2019 10:00","313.14","0.62","581.75"
"23/09/2019 10:15","312.96","0.62","579.44"
"23/09/2019 10:30","312.61","0.61","572.25"
"23/09/2019 10:45","312.58","0.62","576.25"
"23/09/2019 11:00","312.4","0.56","521.29"
"23/09/2019 11:15","312.22","0.58","543.49"
"23/09/2019 11:30","312.34","0.55","515.9"
"23/09/2019 11:45","312.54","0.6","563.46"
"23/09/2019 12:00","312.32","0.6","559.77"
"23/09/2019 12:15","311.37","0.61","570.44"
"23/09/2019 12:30","309.43","0.59","548.13"
"23/09/2019 12:45","306.51","0.54","492.74"
"23/09/2019 13:00","304.24","0.55","492.38"
"23/09/2019 13:15","305.8","0.6","544.26"
"23/09/2019 13:30","307.41","0.58","532.26"
"23/09/2019 13:45","308.51","0.6","550.66"
"23/09/2019 14:00","309.41","0.57","523.01"
"23/09/2019 14:15","311.03","0.57","531.36"
"23/09/2019 14:30","314.11","0.64","601.9"
"23/09/2019 14:45","316.36","0.62","586.07"
"23/09/2019 15:00","317.65","0.65","621.43"
"23/09/2019 15:15","317.89","0.63","605.4"
"23/09/2019 15:30","317.87","0.61","584.59"
"23/09/2019 15:45","317.13","0.63","595.19"
"23/09/2019 16:00","316.12","0.63","600.79"
"23/09/2019 16:15","314.57","0.61","576.6"
"23/09/2019 16:30","312.13","0.62","576.6"
"23/09/2019 16:45","310.61","0.57","524.98"
"23/09/2019 17:00","307.86","0.56","515.69"
"23/09/2019 17:15","305.63","0.57","516.42"
"23/09/2019 17:30","303.77","0.56","505.71"
"23/09/2019 17:45","302.52","0.56","497.58"
"23/09/2019 18:00","301.86","0.54","482.07"
"23/09/2019 18:15","301.18","0.59","525.38"
"23/09/2019 18:30","301.36","0.54","483.03"
"23/09/2019 18:45","302.28","0.54","480.2"
"23/09/2019 19:00","302.71","0.54","483.99"
"23/09/2019 19:15","303.07","0.54","489.07"
"23/09/2019 19:30","303.66","0.58","518.39"
"23/09/2019 19:45","305.84","0.6","546.05"
"23/09/2019 20:00","310.72","0.6","558.96"
"23/09/2019 20:15","319.07","0.66","632.51"
"23/09/2019 20:30","327.14","0.69","680.03"
"23/09/2019 20:45","332.95","0.7","709.38"
"23/09/2019 21:00","334.45","0.67","677.33"
"23/09/2019 21:15","339.36","0.71","734.41"
"23/09/2019 21:30","349.22","0.71","762.8"
"23/09/2019 21:45","359.39","0.8","888.57"
"23/09/2019 22:00","371.32","0.86","997.6"
"23/09/2019 22:15","357.58","0.76","846.8"
"23/09/2019 22:30","347.24","0.74","785.71"
"23/09/2019 22:45","340.2","0.72","752.62"
"23/09/2019 23:00","335.5","0.7","715.7"
"23/09/2019 23:15","330.56","0.7","696.57"
"23/09/2019 23:30","327.59","0.68","675.88"
"23/09/2019 23:45","326.68","0.71","702.44"
"24/09/2019 00:00","325.5","0.66","647.84"
"24/09/2019 00:15","325.28","0.68","667.95"
"24/09/2019 00:30","333.67","0.69","700.77"
"24/09/2019 00:45","340.9","0.71","742.66"
"24/09/2019 01:00","339.81","0.71","734.82"
"24/09/2019 01:15","340.86","0.71","739.65"
"24/09/2019 01:30","340.73","0.71","735.16"
"24/09/2019 01:45","338.41","0.73","750.5"
"24/09/2019 02:00","335.22","0.72","733.31"
"24/09/2019 02:15","331.75","0.74","745.41"
"24/09/2019 02:30","328.77","0.72","718.93"
"24/09/2019 02:45","325.1","0.7","689"
"24/09/2019 03:00","323.13","0.7","682.85"
"24/09/2019 03:15","320.9","0.71","687.38"
"24/09/2019 03:30","319.51","0.7","673.4"
"24/09/2019 03:45","318.39","0.7","665.84"
"24/09/2019 04:00","317.7","0.73","699.47"
"24/09/2019 04:15","316.76","0.72","681.51"
"24/09/2019 04:30","315.79","0.68","646.19"
"24/09/2019 04:45","315.35","0.72","681.16"
"24/09/2019 05:00","315.61","0.73","693.52"
"24/09/2019 05:15","315","0.7","656.54"
"24/09/2019 05:30","315.66","0.75","709.78"
"24/09/2019 05:45","317.13","0.76","724.15"
"24/09/2019 06:00","318.98","0.72","694.29"
"24/09/2019 06:15","326","0.73","717.86"
"24/09/2019 06:30","355.24","0.82","903.64"
"24/09/2019 06:45","370.43","0.86","993.17"
"24/09/2019 07:00","360.88","0.8","896.88"
"24/09/2019 07:15","358.02","0.83","915.75"
"24/09/2019 07:30","356.87","0.81","894.24"
"24/09/2019 07:45","361.19","0.8","900.42"
"24/09/2019 08:00","419.59","1.06","1435"
"24/09/2019 08:15","452.6","1.12","1650.66"
"24/09/2019 08:30","476.77","1.15","1799.54"
"24/09/2019 08:45","466.53","1.1","1676.45"
"24/09/2019 09:00","447.39","1.05","1525.15"
"24/09/2019 09:15","431.43","0.99","1375.86"
"24/09/2019 09:30","427.53","1.04","1423.34"
"24/09/2019 09:45","433.19","1.02","1430.73"
"24/09/2019 10:00","441.14","1.05","1502.68"
"24/09/2019 10:15","441.03","1.06","1510.64"
"24/09/2019 10:30","443.66","1.09","1571.21"
"24/09/2019 10:45","471.07","1.15","1768.16"
"24/09/2019 11:00","484.16","1.11","1776.66"
"24/09/2019 11:15","485.31","1.14","1819.27"
"24/09/2019 11:30","482.73","1.17","1857.57"
"24/09/2019 11:45","485.63","1.17","1864.26"
"24/09/2019 12:00","481.01","1.15","1822.81"
"24/09/2019 12:15","481.18","1.16","1831.12"
"24/09/2019 12:30","479.27","1.14","1796.93"
"24/09/2019 12:45","492.85","1.15","1878.93"
"24/09/2019 13:00","493.46","1.17","1912.51"
"24/09/2019 13:15","491.02","1.14","1845.79"
"24/09/2019 13:30","579.21","1.28","2533.57"
"24/09/2019 13:45","575.09","1.2","2339.2"
"24/09/2019 14:00","560.74","1.16","2194.53"
"24/09/2019 14:15","541.74","1.08","1972.38"
"24/09/2019 14:30","529.77","1.02","1807.77"
"24/09/2019 14:45","523.58","1.07","1867.39"
"24/09/2019 15:00","529.72","1.07","1898.9"
"24/09/2019 15:15","646.28","1.23","2762.62"
"24/09/2019 15:30","869.23","1.04","3251.01"
"24/09/2019 15:45","823.01","1.32","3881.97"
"24/09/2019 16:00","740.44","1.34","3517.65"
"24/09/2019 16:15","702.73","1.45","3571.69"
"24/09/2019 16:30","668.29","1.45","3381.21"
"24/09/2019 16:45","635.79","1.43","3136.79"
"24/09/2019 17:00","628.51","1.41","3052.83"
"24/09/2019 17:15","636.74","1.38","3029.12"
"24/09/2019 17:30","622.49","1.35","2884.65"
"24/09/2019 17:45","603.43","1.38","2846.88"
"24/09/2019 18:00","595","1.31","2658.81"
"24/09/2019 18:15","584.02","1.31","2609.5"
"24/09/2019 18:30","562.39","1.31","2500.44"
"24/09/2019 18:45","558.06","1.24","2338.87"
"24/09/2019 19:00","548.23","1.19","2199.41"
"24/09/2019 19:15","534.74","1.18","2113.71"
"24/09/2019 19:30","528.74","1.15","2033.75"
"24/09/2019 19:45","520.23","1.11","1933.38"
"24/09/2019 20:00","510.25","1.1","1869.45"
"24/09/2019 20:15","504.21","1.12","1866.56"
"24/09/2019 20:30","498.5","1.09","1804.64"
"24/09/2019 20:45","490.59","1.12","1819.95"
"24/09/2019 21:00","484.82","1.11","1779.27"
"24/09/2019 21:15","483.49","1.12","1783.41"
"24/09/2019 21:30","476.05","1.1","1712.53"
"24/09/2019 21:45","472.47","1.12","1738.28"
"24/09/2019 22:00","471.57","1.13","1740.69"
"24/09/2019 22:15","465.11","1.12","1706.38"
"24/09/2019 22:30","458.39","1.15","1722.95"
"24/09/2019 22:45","454.04","1.1","1630.85"
"24/09/2019 23:00","453.91","1.1","1630.93"
"24/09/2019 23:15","449.36","1.12","1630.85"
"24/09/2019 23:30","450.89","1.07","1563.16"
"24/09/2019 23:45","449.78","1.11","1610.17"
"25/09/2019 00:00","447.27","1.09","1587.46"
"25/09/2019 00:15","441.61","1.06","1508.97"
"25/09/2019 00:30","438.93","1.06","1504.53"
"25/09/2019 00:45","438.41","1.08","1530.82"
"25/09/2019 01:00","436.88","1.07","1510.04"
"25/09/2019 01:15","432.83","1.04","1452.67"
"25/09/2019 01:30","433.42","1.07","1490.24"
"25/09/2019 01:45","432.78","1.04","1454.11"
"25/09/2019 02:00","430.59","1.06","1475.35"
"25/09/2019 02:15","428.52","1.04","1432.65"
"25/09/2019 02:30","428.83","1.03","1422.96"
"25/09/2019 02:45","427","1.02","1400.66"
"25/09/2019 03:00","425.43","1.02","1388.51"
"25/09/2019 03:15","423.72","1.02","1388.08"
"25/09/2019 03:30","422.13","1.04","1402.88"
"25/09/2019 03:45","423.09","1.02","1382.12"
"25/09/2019 04:00","422.05","1.01","1366.96"
"25/09/2019 04:15","419.64","0.98","1321.11"
"25/09/2019 04:30","419.06","1","1343.16"
"25/09/2019 04:45","416.57","1.03","1366.53"
"25/09/2019 05:00","415.61","1","1330.34"
"25/09/2019 05:15","414.53","0.99","1313.34"
"25/09/2019 05:30","413.04","1","1324.55"
"25/09/2019 05:45","413.59","0.98","1296.97"
"25/09/2019 06:00","412.66","0.97","1282.48"
"25/09/2019 06:15","411.65","0.96","1263.4"
"25/09/2019 06:30","410.06","0.96","1260.54"
"25/09/2019 06:45","407.21","0.97","1252.59"
"25/09/2019 07:00","408.06","0.96","1248.76"
"25/09/2019 07:15","406.72","0.98","1263.5"
"25/09/2019 07:30","406.17","0.96","1240.94"
"25/09/2019 07:45","404.35","0.95","1224"
"25/09/2019 08:00","403.95","0.96","1234.19"
"25/09/2019 08:15","403.84","0.96","1237.74"
"25/09/2019 08:30","402.32","0.98","1254.09"
"25/09/2019 08:45","400.41","0.96","1223.4"
"25/09/2019 09:00","399.84","0.95","1201.47"
