Time,Depth,f_velocity,f_volume
2019-09-23 00:00:00,286.144,0.68,511.294
2019-09-23 00:15:00,262.47,0.69,482.33
2019-09-23 00:30:00,261.0,0.69,480.16
2019-09-23 00:45:00,262.06,0.68,476.27
2019-09-23 01:00:00,262.9,0.68,475.66
2019-09-23 01:15:00,261.8,0.68,478.59
2019-09-23 01:30:00,263.14,0.68,478.12
2019-09-23 01:45:00,261.24,0.68,475.73
2019-09-23 02:00:00,259.54,0.68,466.88
2019-09-23 02:15:00,260.44,0.67,466.58
2019-09-23 02:30:00,260.71,0.67,467.37
2019-09-23 02:45:00,258.35,0.66,454.34
2019-09-23 03:00:00,258.3,0.66,454.33
2019-09-23 03:15:00,256.23,0.65,440.98
2019-09-23 03:30:00,256.64,0.65,442.32
2019-09-23 03:45:00,254.69,0.65,437.18
2019-09-23 04:00:00,255.69,0.66,444.1
2019-09-23 04:15:00,254.03,0.66,442.13
2019-09-23 04:30:00,255.19,0.64,428.86
2019-09-23 04:45:00,254.84,0.63,425.26
2019-09-23 05:00:00,256.43,0.65,439.43
2019-09-23 05:15:00,256.38,0.64,433.38
2019-09-23 05:30:00,255.46,0.64,432.52
2019-09-23 05:45:00,254.72,0.63,422.13
2019-09-23 06:00:00,254.59,0.64,428.45
2019-09-23 06:15:00,255.32,0.63,426.3
2019-09-23 06:30:00,254.25,0.64,431.71
2019-09-23 06:45:00,254.87,0.65,437.56
2019-09-23 07:00:00,253.71,0.64,426.76
2019-09-23 07:15:00,254.9,0.64,431.96
2019-09-23 07:30:00,254.26,0.64,427.7
2019-09-23 07:45:00,253.49,0.64,428.69
2019-09-23 08:00:00,253.57,0.65,432.36
2019-09-23 08:15:00,253.43,0.64,425.37
2019-09-23 08:30:00,254.76,0.63,427.64
2019-09-23 08:45:00,255.22,0.64,429.22
2019-09-23 09:00:00,254.25,0.64,428.24
2019-09-23 09:15:00,254.2,0.63,424.23
2019-09-23 09:30:00,253.77,0.64,427.9
2019-09-23 09:45:00,253.29,0.64,430.74
2019-09-23 10:00:00,254.19,0.64,432.24
2019-09-23 10:15:00,254.55,0.65,435.96
2019-09-23 10:30:00,253.28,0.64,427.32
2019-09-23 10:45:00,253.45,0.65,432.38
2019-09-23 11:00:00,254.67,0.64,429.2
2019-09-23 11:15:00,253.32,0.64,424.46
2019-09-23 11:30:00,252.1,0.63,418.31
