OBJECTID,Site name,Number of spills,Spill duration (hours per year),Percent of reporting operational,Company name,DSI_TYPE_DESCRIPTION,ADD_OF_DISCHARGE_SITE_LINE_1,DISTRICT_COUNCIL,CATC_NAME,PERMIT_NUMBER,RECEIVING_WATER,REC_ENV_CODE_DESCRIPTION,Outlet type,Grid reference,Effluent type,Year of Data,Disputed,Disputed data detail,x,y
1,ABTHORPE TPS,0,0,100.00%,ANGLIAN WATER SERVICES LIMITED,Pumping Station on Sewerage Network (water company),MAIN STREET,S. NORTHAMPTONSHIRE,R.TOVE (TOWCESTER),AW1NF947,THE RIVER TOVE,Freshwater river,S,SP6430046500,SEWAGE DISCHARGES - SEWER STORM OVERFLOW - WATER COMPANY,2019,,,464300,246500
2,ANWICK-RIVER LA TPS,61,684,100.00%,ANGLIAN WATER SERVICES LIMITED,WwTW/Sewage Treatment Works (water company),RIVER LANE,N. KESTEVEN,R.SLEA (SLEAFORD),ANNNF13375,UNNAMED TRIBUTARY ANWICK SOKE,Freshwater river,S,TF1147050140,SEWAGE DISCHARGES - PUMPING STATION - WATER COMPANY,2019,,,511470,350140
3,ARRINGTON STW,7,3,100.00%,ANGLIAN WATER SERVICES LIMITED,WwTW/Sewage Treatment Works (water company),ERMINE WAY,S. CAMBRIDGESHIRE,,AW1NF1815,River Rhee,,S,TL3280049700,SEWAGE DISCHARGES - FINAL/TREATED EFFLUENT - WATER COMPANY,2019,,,532800,249700
4,ASHTON STW,0,0,100.00%,ANGLIAN WATER SERVICES LIMITED,WwTW/Sewage Treatment Works (water company),BOZENHAM MILL LANE,S. NORTHAMPTONSHIRE,R.TOVE (TOWCESTER),AW1NF1361,Salcey Brook River Tove  NT,Freshwater river,S,SP7678248813,SEWAGE DISCHARGES - STW STORM OVERFLOW/STORM TANK - WATER COMPANY,2019,,,476747,248972
5,ATTLEBOROUGH-NORWICH RD #2 SP,1,10,100.00%,ANGLIAN WATER SERVICES LIMITED,Pumping Station on Sewerage Network (water company),KENAN DRIVE,BRECKLAND,R.THET (ATTLEBRO'-THETFOR,AECNF11045,culverted tributary R Thet,,S,TM0571096140,MISCELLANEOUS DISCHARGES - EMERGENCY DISCHARGES,2019,,,605720,296175
6,BADWELL ASH STW,40,432,99.82%,ANGLIAN WATER SERVICES LIMITED,WwTW/Sewage Treatment Works (water company),,MID SUFFOLK,R.SAPISTON (IXWORTH),AW1NF1083,Stowlangtoft Stream River Sapi,,S,TL9921069910,SEWAGE DISCHARGES - FINAL/TREATED EFFLUENT - WATER COMPANY,2019,,,599200,269900
7,BARRINGTON-SLID LA #2 OV,3,1,74.45%,ANGLIAN WATER SERVICES LIMITED,WwTW/Sewage Treatment Works (water company),SLID LANE,S. CAMBRIDGESHIRE,R.RHEE / R.MEL / R.SHEP,AW1NF1380,Trib River Rhee,Freshwater river,S,TL3966049700,SEWAGE DISCHARGES - STW STORM OVERFLOW/STORM TANK - WATER COMPANY,2019,,,539660,249700
8,BEDFORD STW,71,1418,100.00%,ANGLIAN WATER SERVICES LIMITED,WwTW/Sewage Treatment Works (water company),OFF MEADOW LANE,BEDFORD,MID R.OUSE / ELSTOW BRK,AW1NF2460,River Great Ouse NT,Freshwater river,S,TL0804049690,SEWAGE DISCHARGES - STW STORM OVERFLOW/STORM TANK - WATER COMPANY,2019,,,508488,249331
9,BELAUGH STW,1,0,100.00%,ANGLIAN WATER SERVICES LIMITED,WwTW/Sewage Treatment Works (water company),TOP ROAD,BROADLAND,UPPER R.BURE,AW4TF351,River Bure,Estuary/Tidal River,S,TG2930018400,SEWAGE DISCHARGES - FINAL/TREATED EFFLUENT - WATER COMPANY,2019,,,629134,318371
10,BENFLEET-MARSH TPS,9,24,100.00%,ANGLIAN WATER SERVICES LIMITED,Pumping Station on Sewerage Network (water company),BROOK ROAD,CASTLE POINT,,AW2NFE08669,TRIB BENFLEET CREEK,Freshwater river,S,TQ7742086250,SEWAGE DISCHARGES - SEWER STORM OVERFLOW - WATER COMPANY,2019,,,577400,186200
11,BENFLEET STW,35,207,100.00%,ANGLIAN WATER SERVICES LIMITED,WwTW/Sewage Treatment Works (water company),ESSEX,CASTLE POINT,,AW2NFE08862,Common Water Course No.7.,Freshwater river,S,TQ7753386942,SEWAGE DISCHARGES - SEWER STORM OVERFLOW - WATER COMPANY,2019,,,577633,186942
12,BENHALL STW,56,450,100.00%,ANGLIAN WATER SERVICES LIMITED,WwTW/Sewage Treatment Works (water company),ALDECAR LANE,SUFFOLK COASTAL,R.ORE / R.ALDE / R.FROMUS,ASENF2052,River Fromus River Alde  NT,Freshwater river,S,TM3822060560,SEWAGE DISCHARGES - STW STORM OVERFLOW/STORM TANK - WATER COMPANY,2019,,,638141,260609
13,BIGGLESWADE DARK LANE SSO,3,2,100.00%,ANGLIAN WATER SERVICES LIMITED,Storm Tank/CSO on Sewerage Network (water company),SHORTMEAD STREET,CENTRAL BEDS UA,R.IVEL/MILLBRIDGE BRK (SA,AWCNF11839,THE RIVER IVEL,Freshwater river,S,TL1861044840,SEWAGE DISCHARGES - SEWER STORM OVERFLOW - WATER COMPANY,2019,,,518803,244861
14,BIGGLESWADE-SHORTMEAD ST TPS,0,0,100.00%,ANGLIAN WATER SERVICES LIMITED,Pumping Station on Sewerage Network (water company),OFF FAIRFIELD ROAD,CENTRAL BEDS UA,R.IVEL/MILLBRIDGE BRK (SA,AWCNF10469,RIVER IVEL,Freshwater river,S,TL1868045280,SEWAGE DISCHARGES - SEWER STORM OVERFLOW - WATER COMPANY,2019,,,518731,245292
15,BOTTISHAM STW,0,0,100.00%,ANGLIAN WATER SERVICES LIMITED,WwTW/Sewage Treatment Works (water company),PEACOCK DRIVE,E. CAMBRIDGESHIRE,R.CAM / THE LODES,AW1NF302,CONFL SWAFFHAM BULBECK LODA,Freshwater river,S,TL5440061400,SEWAGE DISCHARGES - STW STORM OVERFLOW/STORM TANK - WATER COMPANY,2019,,,554395,261290
16,BRADFIELD-MAYPOLE GREEN PS,12,98,100.00%,ANGLIAN WATER SERVICES LIMITED,WwTW/Sewage Treatment Works (water company),FELSHAM ROAD,ST EDMUNDSBURY,R.SAPISTON (IXWORTH),AW1NF1275,Trib Pakenham Stream,Freshwater river,S,TL9126059050,SEWAGE DISCHARGES - STW STORM OVERFLOW/STORM TANK - WATER COMPANY,2019,,,591260,259050
17,BRANDON STW,2,1,100.00%,ANGLIAN WATER SERVICES LIMITED,WwTW/Sewage Treatment Works (water company),OFF CHURCH ROAD,FOREST HEATH,MID LITTLE OUSE R. (BRAND,AW1NF939,River Little Ouse,Freshwater river,S,TL7760086700,SEWAGE DISCHARGES - FINAL/TREATED EFFLUENT - WATER COMPANY,2019,,,577620,286290
18,BRAUNSTON STW,83,346,100.00%,ANGLIAN WATER SERVICES LIMITED,WwTW/Sewage Treatment Works (water company),OFF BROOKE ROAD,RUTLAND UA,R.GWASH / RUTLAND WATER,AW5NF694,R.Gwash River Welland  NT,Freshwater river,S,SK8389006420,SEWAGE DISCHARGES - STW STORM OVERFLOW/STORM TANK - WATER COMPANY,2019,,,483890,306420
19,BROUGHTON-TOWNHILL(MH4103),0,0,100.00%,ANGLIAN WATER SERVICES LIMITED,Storm Tank/CSO on Sewerage Network (water company),TOWN HILL,N. LINCOLNSHIRE UA,LOW R.ANCHOLME WEST (APPL,ANNNF13537,THE MOOR BECK,Freshwater river,S,SE9657009210,SEWAGE DISCHARGES - SEWER STORM OVERFLOW - WATER COMPANY,2019,,,496570,409210
20,BUCKINGHAM TOWN SP,0,0,100.00%,ANGLIAN WATER SERVICES LIMITED,Pumping Station on Sewerage Network (water company),CORNWALLS MEADOW,AYLESBURY VALE,UPPER R.OUSE (BUCKINGHAM),AWCNF10471,River Ouse,Freshwater river,S,SP6988034040,SEWAGE DISCHARGES - PUMPING STATION - WATER COMPANY,2019,,,469880,234040
21,BUCKINGHAM- WEST STREET SSO,0,0,99.86%,ANGLIAN WATER SERVICES LIMITED,Storm Tank/CSO on Sewerage Network (water company),WEST STREET,AYLESBURY VALE,UPPER R.OUSE (BUCKINGHAM),AWCNF1604,RIVER GREAT OUSE,Freshwater river,S,SP6942033990,SEWAGE DISCHARGES - SEWER STORM OVERFLOW - WATER COMPANY,2019,,,469410,233890
22,BUNGAY-BOYSCOTT LA SP,8,16,100.00%,ANGLIAN WATER SERVICES LIMITED,Pumping Station on Sewerage Network (water company),OFF BOYSCOTT LANE,WAVENEY,MID R.WAVENEY (BUNGAY),ASENF15570,"WOLDS DYKE, R WAVENEY",Freshwater river,S,TM3371089050,SEWAGE DISCHARGES - SEWER STORM OVERFLOW - WATER COMPANY,2019,,,633710,289051
23,BUNGAY-EARSHAM STREET SSO,23,278,99.41%,ANGLIAN WATER SERVICES LIMITED,Storm Tank/CSO on Sewerage Network (water company),EARSHAM STREET,S. NORFOLK,,AW4NF1774,River Waveney,,S,TM3337089750,SEWAGE DISCHARGES - STW STORM OVERFLOW/STORM TANK - WATER COMPANY,2019,,,633370,289750
24,BUNGAY NETHERGATE ST CSO,4,6,35.52%,ANGLIAN WATER SERVICES LIMITED,Storm Tank/CSO on Sewerage Network (water company),NETHERGATE STREET,WAVENEY,MID R.WAVENEY (BUNGAY),ASENF15588,RIVER WAVENEY,Freshwater river,S,TM3369090030,SEWAGE DISCHARGES - SEWER STORM OVERFLOW - WATER COMPANY,2019,,,633623,289911
25,BUNGAY-ST JOHNS ROAD SSO,4,2,99.99%,ANGLIAN WATER SERVICES LIMITED,WwTW/Sewage Treatment Works (water company),ST JOHNS ROAD,WAVENEY,,AW4NF1773,tributary River Waveney,Freshwater river,S,TM3419089240,SEWAGE DISCHARGES - STW STORM OVERFLOW/STORM TANK - WATER COMPANY,2019,,,634190,289240
26,BUXTON-COLTISHALL RD TPS,1,4,56.56%,ANGLIAN WATER SERVICES LIMITED,Pumping Station on Sewerage Network (water company),COLTISHALL ROAD,BROADLAND,UPPER R.BURE,AEENF2225,IDB TRIB RIVER BURE,Freshwater river,S,TG2340022530,SEWAGE DISCHARGES - SEWER STORM OVERFLOW - WATER COMPANY,2019,,,623300,322500
27,BYLAUGH-OLD HALL FARM TPS,16,10,100.00%,ANGLIAN WATER SERVICES LIMITED,WwTW/Sewage Treatment Works (water company),BYLAUGH PARK,BRECKLAND,R.WENSUM / WHITEWATER / R,AW4NF624X,River Wensum NT,Freshwater river,S,TG0372018170,SEWAGE DISCHARGES - FINAL/TREATED EFFLUENT - WATER COMPANY,2019,,,603711,318324
28,CAISTER-HEADWORKS PS,13,104,99.91%,ANGLIAN WATER SERVICES LIMITED,WwTW/Sewage Treatment Works (water company),PUMP LANE,GREAT YARMOUTH,R.THURNE / LOWER R.BURE,AEENF12406,IDB DITCH TO MARSH DRAIN SYSTM,Freshwater river,S,TG5178011010,SEWAGE DISCHARGES - STW STORM OVERFLOW/STORM TANK - WATER COMPANY,2019,,,651860,311134
29,CAISTER - PUMP LANE STW,36,182,25.27%,ANGLIAN WATER SERVICES LIMITED,WwTW/Sewage Treatment Works (water company),,E. LINDSEY,,ANNNF2544,North Creek Drain,,S,TF4522093850,MISCELLANEOUS DISCHARGES - EMERGENCY DISCHARGES,2019,,,545220,393850
30,CAISTOR STW,107,2001,100.00%,ANGLIAN WATER SERVICES LIMITED,WwTW/Sewage Treatment Works (water company),NAVIGATION LANE,W. LINDSEY,MID R.ANCHOLME EAST (KELS,AW3NFF232,Caistor Canal River Ancholme,Freshwater river,S,TA1071001110,SEWAGE DISCHARGES - STW STORM OVERFLOW/STORM TANK - WATER COMPANY,2019,,,510800,401100
31,CANVEY-FURTHERWICK RD SP,3,20,100.00%,ANGLIAN WATER SERVICES LIMITED,Storm Tank/CSO on Sewerage Network (water company),FURTHERWICK ROAD,CASTLE POINT,,AW2NFE11984,Trib River Thames,Freshwater river,S,TQ8000082800,SEWAGE DISCHARGES - SEWER STORM OVERFLOW - WATER COMPANY,2019,,,580000,182800
32,CANVEY-NEW RD SP,0,0,100.00%,ANGLIAN WATER SERVICES LIMITED,Pumping Station on Sewerage Network (water company),LINK ROAD,CASTLE POINT,R.ROACH (SOUTHEND),ASETS2493,THE DRAIN-DITCH TO TIDAL WATER,Freshwater river,S,TQ7795083770,SEWAGE DISCHARGES - SEWER STORM OVERFLOW - WATER COMPANY,2019,,,578220,183610
33,CASTLE PT HIGH RD/SOUTHVIEW RD,0,0,100.00%,ANGLIAN WATER SERVICES LIMITED,Storm Tank/CSO on Sewerage Network (water company),HIGH ROAD,CASTLE POINT,,EPRNB3199AR,COMMON WATERCOURSE NO7,Freshwater river,S,TQ7719087090,SEWAGE DISCHARGES - SEWER STORM OVERFLOW - WATER COMPANY,2019,,,577190,187090
34,CHELMSFORD-BUTTS WAY SP,0,0,100.00%,ANGLIAN WATER SERVICES LIMITED,Pumping Station on Sewerage Network (water company),BUTTS WAY,CHELMSFORD,,ASENF10378,River Wid,Freshwater river,S,TL6932003690,SEWAGE DISCHARGES - SEWER STORM OVERFLOW - WATER COMPANY,2019,,,569340,203590
35,CHELMSFORD-GALLEYWOOD RD SP,4,1,33.63%,ANGLIAN WATER SERVICES LIMITED,Pumping Station on Sewerage Network (water company),GALLEYWOOD ROAD,CHELMSFORD,R.WID (INGATESTONE),AEENF15628,TRIBUTARY OF THE RIVER WID,Freshwater river,S,TL7035003950,SEWAGE DISCHARGES - STW STORM OVERFLOW/STORM TANK - WATER COMPANY,2019,,,570352,203937
36,CHELMSFORD-N MLBN CHIGNAL R SP,0,0,100.00%,ANGLIAN WATER SERVICES LIMITED,Pumping Station on Sewerage Network (water company),CHIGNAL ROAD,CHELMSFORD,R.CAN (ROXWELL),ASENF2502,One Bridge Brook,Freshwater river,S,TL6850008900,SEWAGE DISCHARGES - SEWER STORM OVERFLOW - WATER COMPANY,2019,,,568500,208900
37,CHELMSFORD STW,8,62,100.00%,ANGLIAN WATER SERVICES LIMITED,WwTW/Sewage Treatment Works (water company),STORMS WAY,CHELMSFORD,LOWER R.CHELMER (BOREHAM),AW2TSE9961,Essex Wat.Co. pipeline to Blac,Estuary/Tidal River,S,TL7405007082,SEWAGE DISCHARGES - FINAL/TREATED EFFLUENT - WATER COMPANY,2019,,,573807,206724
38,CHELMSFORD STW,33,175,100.00%,ANGLIAN WATER SERVICES LIMITED,WwTW/Sewage Treatment Works (water company),STORMS WAY,CHELMSFORD,LOWER R.CHELMER (BOREHAM),AW2TSE9961,Essex Wat.Co. pipeline to Blac,Estuary/Tidal River,S,TL7405007082,SEWAGE DISCHARGES - FINAL/TREATED EFFLUENT - WATER COMPANY,2019,,,573807,206724
39,CLOPHILL STW,10,31,100.00%,ANGLIAN WATER SERVICES LIMITED,Pumping Station on Sewerage Network (water company),& CLOPHILL STW TPS,CENTRAL BEDS UA,R.FLIT (AMPTHILL),AWCNF11064,River Flit,Freshwater river,S,TL0866037830,SEWAGE DISCHARGES - PUMPING STATION - WATER COMPANY,2019,,,508660,237830
40,COGGESHALL-EAST ST R O #18 OV,0,0,98.84%,ANGLIAN WATER SERVICES LIMITED,WwTW/Sewage Treatment Works (water company),EAST STREET,BRAINTREE,,AW2NFE02579,Trib River Blackwater,Freshwater river,S,TL8512022500,SEWAGE DISCHARGES - STW STORM OVERFLOW/STORM TANK - WATER COMPANY,2019,,,585120,222500
41,COLCHESTER-EAST BAY MAIN INT,7,4,99.96%,ANGLIAN WATER SERVICES LIMITED,Storm Tank/CSO on Sewerage Network (water company),MOORSIDE,COLCHESTER,,AW2TSE03384,RIVER COLNE,Estuary/Tidal River,S,TM0081025080,SEWAGE DISCHARGES - STW STORM OVERFLOW/STORM TANK - WATER COMPANY,2019,,,600810,225080
42,COLCHESTER-HAVEN RD OV,12,24,99.95%,ANGLIAN WATER SERVICES LIMITED,Storm Tank/CSO on Sewerage Network (water company),HAVEN ROAD,COLCHESTER,LOWER R.COLNE (COLCHESTER,ASETS19243,TIDAL RIVER COLNE,Estuary/Tidal River,S,TM0213023840,SEWAGE DISCHARGES - SEWER STORM OVERFLOW - WATER COMPANY,2019,,,602000,223850
43,COLD NORTON-STOW RD SP,12,75,100.00%,ANGLIAN WATER SERVICES LIMITED,Pumping Station on Sewerage Network (water company),STOW ROAD,MALDON,SANDON BRK / HANNINGFIELD,ASENF2637,SANDON BROOK,,S,TL8380000000,SEWAGE DISCHARGES - SEWER STORM OVERFLOW - WATER COMPANY,2019,,,583767,200023
44,COMBS FORD-COMBS FORD TPS,0,0,98.34%,ANGLIAN WATER SERVICES LIMITED,Storm Tank/CSO on Sewerage Network (water company),COMBS FORD,MID SUFFOLK,,AW4NF808X,River Rattlesdon,Freshwater river,S,TM0512057790,SEWAGE DISCHARGES - SEWER STORM OVERFLOW - WATER COMPANY,2019,,,605230,257850
45,CONINGSBY STW,291,1672,100.00%,ANGLIAN WATER SERVICES LIMITED,WwTW/Sewage Treatment Works (water company),DOGDYKE ROAD,E. LINDSEY,R.BAIN (HORNCASTLE),ANNNF1049,RIVER BAIN,Freshwater river,S,TF2144056720,SEWAGE DISCHARGES - STW STORM OVERFLOW/STORM TANK - WATER COMPANY,2019,,,521741,356862
46,CORBY-STUDFALL AVENUE  SSO,3,9,100.00%,ANGLIAN WATER SERVICES LIMITED,WwTW/Sewage Treatment Works (water company),ROCKINGHAM ROAD,CORBY,,AW5NF463,Trib Willow Brook,Freshwater river,S,SP8860090170,SEWAGE DISCHARGES - SEWER STORM OVERFLOW - WATER COMPANY,2019,,,488600,290170
47,"CORTON-BAKERS SCORE PS, Corton, Lowestoft, Suffolk",15,20,99.98%,ANGLIAN WATER SERVICES LIMITED,Pumping Station on Sewerage Network (water company),CORTON,WAVENEY,,ASETS2120,Tidal Water,,S,TM5430097800,MISCELLANEOUS DISCHARGES - EMERGENCY DISCHARGES,2019,,,654300,297800
48,CORTON-CHURCH LANE SM,0,0,99.99%,ANGLIAN WATER SERVICES LIMITED,Pumping Station on Sewerage Network (water company),OFF CHURCH LANE,WAVENEY,LOWER R.WAVENEY (BECCLES),ASECS15627,THE NORTH SEA,Sea,S,TM5443097860,SEWAGE DISCHARGES - SEWER STORM OVERFLOW - WATER COMPANY,2019,,,653984,298127
49,COSGROVE-DOGSMOUTH SO    SSO,37,345,100.00%,ANGLIAN WATER SERVICES LIMITED,WwTW/Sewage Treatment Works (water company),COSGROVE,S. NORTHAMPTONSHIRE,UPPER R.OUSE (DEANSHANGER,AWCNF1629,,,S,SP7816041750,SEWAGE DISCHARGES - STW STORM OVERFLOW/STORM TANK - WATER COMPANY,2019,,,478160,241750
50,COTTON VALLEY STW,18,66,100.00%,ANGLIAN WATER SERVICES LIMITED,WwTW/Sewage Treatment Works (water company),TONGWELL STREET,MILTON KEYNES UA,R.OUZEL (WILLEN),AWCNF10296,RIVER GREAT OUSE/RIVER OUZEL,Freshwater river,S,SP8835844106,SEWAGE DISCHARGES - STW STORM OVERFLOW/STORM TANK - WATER COMPANY,2019,,,488412,240499
51,CROWFIELD SP,32,292,100.00%,ANGLIAN WATER SERVICES LIMITED,Pumping Station on Sewerage Network (water company),CROWFIELD,S. NORTHAMPTONSHIRE,UPPER R.OUSE (BUCKINGHAM),AW1NF809,ADJOINING WATERCOURSE,Freshwater river,S,SP6180041600,SEWAGE DISCHARGES - SEWER STORM OVERFLOW - WATER COMPANY,2019,,,461800,241600
52,DEANSHANGER SO   SSO,0,0,100.00%,ANGLIAN WATER SERVICES LIMITED,Storm Tank/CSO on Sewerage Network (water company),PASSENHAM QUARRY,S. NORTHAMPTONSHIRE,UPPER R.OUSE (DEANSHANGER,AWCNF1627,,,S,SP7665039600,SEWAGE DISCHARGES - STW STORM OVERFLOW/STORM TANK - WATER COMPANY,2019,,,476650,239600
53,DEDHAM STW,25,441,100.00%,ANGLIAN WATER SERVICES LIMITED,WwTW/Sewage Treatment Works (water company),MILL LANE,COLCHESTER,LOWER R.STOUR (STRATFORD),ASENF1055,DEDHAM MILL TAIL-TRIB RV STOUR,Freshwater river,S,TM0595033580,SEWAGE DISCHARGES - FINAL/TREATED EFFLUENT - WATER COMPANY,2019,,,606057,233549
54,DENFORD SP,11,62,100.00%,ANGLIAN WATER SERVICES LIMITED,Pumping Station on Sewerage Network (water company),DENFORD ROAD,E. NORTHAMPTONSHIRE,,AW5NF1572,River Nene,Freshwater river,S,SP9937076840,SEWAGE DISCHARGES - PUMPING STATION - WATER COMPANY,2019,,,499360,276820
55,DERSINGHAM-WOODSIDE CLOSE SP,13,88,100.00%,ANGLIAN WATER SERVICES LIMITED,Pumping Station on Sewerage Network (water company),WOODSIDE CLOSE,KING'S LYN & W. NORF,R.INGOL (DERSINGHAM),AEENF2742,IDB Trib R Ingol,,S,TF6840031400,SEWAGE DISCHARGES - SEWER STORM OVERFLOW - WATER COMPANY,2019,,,568400,331400
56,DESBOROUGH-HILLTOP AVENUE  SSO,8,6,100.00%,ANGLIAN WATER SERVICES LIMITED,Storm Tank/CSO on Sewerage Network (water company),HILLTOP AVENUE,KETTERING,R.ISE (KETTERING),AWNNF13660,A TRIBUTARY OF THE RIVER ISE,Freshwater river,S,SP8017082890,SEWAGE DISCHARGES - STW STORM OVERFLOW/STORM TANK - WATER COMPANY,2019,,,480170,282890
57,DESBOROUGH-NEAR CORSET FACTO,35,21,99.50%,ANGLIAN WATER SERVICES LIMITED,Storm Tank/CSO on Sewerage Network (water company),ROTHWELL ROAD,KETTERING,R.ISE (KETTERING),AWNNF13851,UNNAMED TRIBUTARY OF RIVER ISE,Freshwater river,S,SP8050082680,SEWAGE DISCHARGES - SEWER STORM OVERFLOW - WATER COMPANY,2019,,,480500,282681
58,DESBOROUGH-RECTORY FIELD  SSO,27,74,100.00%,ANGLIAN WATER SERVICES LIMITED,Storm Tank/CSO on Sewerage Network (water company),WILTON CLOSE,KETTERING,,AW5NF1888,River Ise,Freshwater river,S,SP8050082680,SEWAGE DISCHARGES - SEWER STORM OVERFLOW - WATER COMPANY,2019,,,480500,282680
59,DESBOROUGH-RUSHTON RD  SSO,1,0,100.00%,ANGLIAN WATER SERVICES LIMITED,Storm Tank/CSO on Sewerage Network (water company),RUSHTON ROAD,KETTERING,,AW5NF1887,River Ise,Freshwater river,S,SP8163083100,SEWAGE DISCHARGES - STW STORM OVERFLOW/STORM TANK - WATER COMPANY,2019,,,481630,283100
60,DESBOROUGH SP,33,116,100.00%,ANGLIAN WATER SERVICES LIMITED,Pumping Station on Sewerage Network (water company),VALLEY RISE,KETTERING,R.ISE (KETTERING),AW5NF689,River Ise,Freshwater river,S,SP8091982640,SEWAGE DISCHARGES - PUMPING STATION - WATER COMPANY,2019,,,480919,282640
61,DISS-SARACENS HD MOUNT ST OV,1,1,99.99%,ANGLIAN WATER SERVICES LIMITED,WwTW/Sewage Treatment Works (water company),MOUNT STREET,S. NORFOLK,UPPER R.WAVENEY (DISS),AEENF10175,unnamed tributary River Wavene,Freshwater river,S,TM1174080080,SEWAGE DISCHARGES - STW STORM OVERFLOW/STORM TANK - WATER COMPANY,2019,,,611740,280080
62,DISS STW,38,291,99.98%,ANGLIAN WATER SERVICES LIMITED,WwTW/Sewage Treatment Works (water company),VICTORIA ROAD,MID SUFFOLK,UPPER R.WAVENEY (DISS),AW4NF625,River Waveney NT,Freshwater river,S,TM1205079340,SEWAGE DISCHARGES - STW STORM OVERFLOW/STORM TANK - WATER COMPANY,2019,,,612082,279286
63,DOVERCOURT-LOW RD SP,28,13,93.33%,ANGLIAN WATER SERVICES LIMITED,WwTW/Sewage Treatment Works (water company),OFF LOW ROAD,TENDRING,,AW2NF382,Trib South Hall Creek,Freshwater river,S,TM2437029800,SEWAGE DISCHARGES - PUMPING STATION - WATER COMPANY,2019,,,624360,229780
64,DOWNHAM MKT-LYNN ROAD OV,0,0,100.00%,ANGLIAN WATER SERVICES LIMITED,WwTW/Sewage Treatment Works (water company),LYNN ROAD,KING'S LYN & W. NORF,RELIEF CHANNEL (DOWNHAM M,AECNF10446,unnamed tributary of Relief Ch,,S,TF6076003930,SEWAGE DISCHARGES - STW STORM OVERFLOW/STORM TANK - WATER COMPANY,2019,,,561425,303714
65,DRAUGHTON STW,96,1906,100.00%,ANGLIAN WATER SERVICES LIMITED,WwTW/Sewage Treatment Works (water company),DRAUGHTON ROAD,DAVENTRY,BRAMPTON BRANCH (BRIXWORT,AW5NF5221,Brampton Branch R.Nene NT,Freshwater river,S,SP7554076880,SEWAGE DISCHARGES - STW STORM OVERFLOW/STORM TANK - WATER COMPANY,2019,,,475493,276953
66,EARLS BARTON TPS,28,55,100.00%,ANGLIAN WATER SERVICES LIMITED,Pumping Station on Sewerage Network (water company),GRENDON RAOD,WELLINGBOROUGH,UPPER R.NENE (NORTHAMPTON,AWCNF2266,R Nene,Freshwater river,S,SP8590062000,SEWAGE DISCHARGES - SEWER STORM OVERFLOW - WATER COMPANY,2019,,,485750,262120
67,ELTON-RIVER LANE TPS,22,186,100.00%,ANGLIAN WATER SERVICES LIMITED,Pumping Station on Sewerage Network (water company),RIVER LANE,HUNTINGDONSHIRE,,AWNNF2811,R Nene,,S,TL0840094000,SEWAGE DISCHARGES - SEWER STORM OVERFLOW - WATER COMPANY,2019,,,508400,294000
68,ELTON STW,0,0,100.00%,ANGLIAN WATER SERVICES LIMITED,WwTW/Sewage Treatment Works (water company),DUCK STREET,HUNTINGDONSHIRE,MID R.NENE (OUNDLE),AWNNF13141,River Nene,,S,TL0854094620,SEWAGE DISCHARGES - FINAL/TREATED EFFLUENT - WATER COMPANY,2019,,,508540,294620
69,ELY-WALSINGHAM WAY OV,20,15,100.00%,ANGLIAN WATER SERVICES LIMITED,WwTW/Sewage Treatment Works (water company),WALSINGHAM WAY,E. CAMBRIDGESHIRE,MID R.OUSE (ST.IVES),AECNF10402,Trib Hundred Foot Drain,Freshwater river,S,TL5280080980,SEWAGE DISCHARGES - STW STORM OVERFLOW/STORM TANK - WATER COMPANY,2019,,,552800,280980
70,E TILBURY-BATA(LINFORD) TPS,4,43,100.00%,ANGLIAN WATER SERVICES LIMITED,Pumping Station on Sewerage Network (water company),ARUN THE BONNERS,THURROCK UA,,AW2NFE00981,DRAINAGE CHANNEL RIVER THAMES,Freshwater river,S,TQ6856078620,SEWAGE DISCHARGES - SEWER STORM OVERFLOW - WATER COMPANY,2019,,,568560,178620
71,FAKENHAM-NORWICH ROAD OV,5,2,100.00%,ANGLIAN WATER SERVICES LIMITED,WwTW/Sewage Treatment Works (water company),WHITEHORSE STREET,N. NORFOLK,,AEENF12045,River Wensum,Freshwater river,S,TF9215029270,SEWAGE DISCHARGES - SEWER STORM OVERFLOW - WATER COMPANY,2019,,,592150,329270
72,FAKENHAM STW (OLD AND NEW),13,50,99.98%,ANGLIAN WATER SERVICES LIMITED,WwTW/Sewage Treatment Works (water company),DEREHAM ROAD,N. NORFOLK,R.WENSUM / WHITEWATER / R,AEENF15448,River Wensum NT,Freshwater river,S,TF9226029180,SEWAGE DISCHARGES - FINAL/TREATED EFFLUENT - WATER COMPANY,2019,,,591950,328830
73,FELTWELL STW,4,48,100.00%,ANGLIAN WATER SERVICES LIMITED,WwTW/Sewage Treatment Works (water company),LENARDS LANE,KING'S LYN & W. NORF,RELIEF CHANNEL (DOWNHAM M,AW1NF213,Cut-Off Channel,Freshwater river,S,TL7003090760,SEWAGE DISCHARGES - FINAL/TREATED EFFLUENT - WATER COMPANY,2019,,,570030,290760
